x,y,z
114.923526,22.928094,1204.452637
114.923604,22.92802,1202.437443
114.92364,22.927934,1201.658448
114.923648,22.927842,1201.174337
114.923545,22.927832,1200.981617
114.923477,22.927908,1199.763884
114.923396,22.927977,1197.456587
114.923299,22.928016,1198.651694
114.923191,22.928036,1197.584049
114.923089,22.928055,1198.694929
114.922982,22.928061,1200.086158
114.922886,22.928119,1200.423837
114.922782,22.928153,1200.338861
114.922692,22.928194,1199.977748
114.922596,22.928246,1199.784156
114.92252,22.928319,1199.236721
114.922458,22.9284,1198.340024
114.922394,22.928482,1196.040875
114.922337,22.928556,1194.310911
114.922267,22.928619,1193.036549
114.922181,22.928685,1192.918219
114.922113,22.92876,1191.462652
114.922064,22.928852,1190.363753
114.922028,22.928941,1190.111825
114.921996,22.929038,1189.223848
114.921971,22.929128,1188.718414
114.921947,22.929222,1188.320115
114.921907,22.929314,1186.272765
114.921874,22.929413,1185.844703
114.921809,22.929492,1185.927061
114.921762,22.929571,1185.542723
114.921697,22.929647,1185.894648
114.921632,22.929718,1186.136324
114.921552,22.929796,1188.108425
114.921478,22.929862,1188.845849
114.921405,22.929929,1190.136402
114.921342,22.93,1190.923543
114.921297,22.930081,1191.632724
114.921239,22.930162,1192.232422
114.921162,22.930219,1193.359921
114.921085,22.930278,1194.907885
114.921003,22.93033,1196.414714
114.920899,22.93035,1196.986626
114.920813,22.9304,1197.942909
114.920758,22.930476,1199.763152
114.920729,22.930564,1200.496403
114.920746,22.930658,1201.117582
114.920757,22.930749,1200.154528
114.92067,22.930811,1199.780742
114.920594,22.930869,1199.331175
114.920518,22.930936,1199.80049
114.920438,22.930989,1200.389926
114.920358,22.931046,1201.084736
114.920286,22.931112,1202.068948
114.920224,22.931184,1202.593622
114.920155,22.931261,1202.806282
114.920098,22.931338,1202.706051
114.920038,22.931415,1202.09802
114.919973,22.93149,1202.664487
114.9199,22.931566,1202.617449
114.919807,22.931621,1200.008501
114.919712,22.93165,1195.67639
114.919619,22.931684,1191.318233
114.919531,22.931725,1186.851074
114.919442,22.931763,1182.621717
114.919349,22.931808,1176.721
114.91925,22.931801,1171.031099
114.919193,22.931725,1162.877461
114.919121,22.931663,1158.169018
114.919039,22.931609,1153.046275
114.918954,22.931562,1150.173023
114.918881,22.931502,1147.766
114.918785,22.931472,1146.311527
114.918689,22.931498,1143.439754
114.91859,22.931478,1141.00078
114.918496,22.931513,1137.421754
114.918398,22.931534,1135.329214
114.918313,22.931583,1134.540196
114.918218,22.931614,1133.487109
114.918131,22.93167,1130.180212
114.91807,22.931746,1128.188621
114.918034,22.931834,1125.138086
114.917954,22.931891,1121.561036
114.917895,22.931968,1119.41481
114.917857,22.932052,1117.077516
114.917785,22.932121,1111.854152
114.917756,22.932213,1108.954328
114.917672,22.932261,1103.879308
114.917569,22.932244,1102.05802
114.91748,22.932209,1099.80475
114.91739,22.932172,1100.866195
114.917324,22.932102,1099.639535
114.917252,22.932038,1099.036446
114.917185,22.93211,1098.798835
114.917195,22.932013,1099.871491
114.91728,22.931951,1100.080014
114.917332,22.931868,1100.031937
114.917387,22.931794,1099.24606
114.917389,22.931696,1098.732322
114.917379,22.931597,1099.065531
114.917354,22.931504,1097.532039
114.91732,22.931413,1097.761361
114.917282,22.931329,1097.787871
114.917222,22.931248,1096.682962
114.917186,22.931154,1096.31599
114.917122,22.931081,1096.045905
114.917046,22.931017,1097.242302
114.916957,22.930973,1097.561279
114.916855,22.930952,1098.91351
114.916757,22.930941,1100.494957
114.91666,22.930963,1100.926108
114.916565,22.931001,1100.652393
114.916468,22.93104,1100.70788
114.916365,22.931037,1100.335073
114.916262,22.931061,1100.097192
114.916172,22.931103,1099.566477
114.916071,22.931132,1099.455955
114.915976,22.931154,1098.693658
114.915874,22.931117,1099.240728
114.915776,22.93109,1098.476446
114.915675,22.931053,1100.149137
114.915569,22.931051,1100.2816
114.915462,22.931059,1099.030123
114.915366,22.931074,1098.854054
114.915268,22.9311,1099.266023
114.91517,22.931127,1100.376573
114.915063,22.931139,1100.362896
114.914955,22.931174,1101.529841
114.914862,22.931224,1100.504307
114.914757,22.931254,1099.699429
114.914645,22.931263,1100.280239
114.914533,22.931271,1100.923184
114.914433,22.931277,1100.229458
114.914335,22.931298,1099.941006
114.914228,22.931345,1099.006436
114.914122,22.931393,1098.063442
114.914033,22.931439,1096.548794
114.913929,22.931468,1096.253994
114.913832,22.931487,1096.817593
114.913731,22.93151,1093.964124
114.913627,22.931542,1095.208607
114.913524,22.931553,1096.723711
114.91343,22.931576,1098.325615
114.91333,22.931592,1098.999957
114.913228,22.931586,1098.66406
114.913223,22.93168,1096.883812
114.913194,22.931774,1097.980326
114.913209,22.931869,1099.263246
114.913208,22.931968,1099.920565
114.913229,22.932063,1099.393847
114.913248,22.932158,1099.228796
114.913254,22.932249,1098.411657
114.913154,22.932268,1097.608397
114.913085,22.932193,1096.245374
114.91303,22.932109,1093.682021
114.912948,22.932043,1092.137089
114.912857,22.932005,1091.307801
114.912758,22.931991,1091.298503
114.912661,22.931949,1090.936125
114.912555,22.93195,1090.117105
114.912455,22.931956,1089.737994
114.91235,22.931965,1089.148162
114.912244,22.931959,1088.7146
114.912148,22.931985,1087.866998
114.912085,22.932057,1087.785837
114.912085,22.932149,1087.449018
114.912087,22.932241,1086.847969
114.912063,22.932151,1088.563533
114.912013,22.932068,1088.344876
114.91191,22.932058,1087.453664
114.911805,22.932046,1086.74907
114.911702,22.932039,1085.871527
114.911603,22.932058,1084.642454
114.911503,22.932028,1081.128815
114.911403,22.932032,1080.392548
114.9113,22.932057,1078.449171
114.911208,22.932086,1077.809067
114.911112,22.932121,1077.386118
114.911008,22.932143,1077.183346
114.910937,22.932212,1075.523967
114.910855,22.932262,1075.23998
114.910787,22.932335,1074.056098
114.910726,22.932409,1072.620604
114.910644,22.932463,1071.232483
114.91056,22.93252,1070.247688
114.910473,22.932564,1069.452777
114.910386,22.932622,1067.537671
114.910293,22.932678,1067.358239
114.910211,22.932728,1066.59392
114.91013,22.932784,1065.919004
114.910065,22.932862,1065.366132
114.910043,22.932952,1063.905995
114.910002,22.933035,1062.395754
114.909956,22.933124,1060.273771
114.909897,22.933206,1060.006943
114.909842,22.933287,1059.69295
114.909773,22.933361,1059.552746
114.909692,22.933427,1061.089173
114.909621,22.933499,1061.147224
114.909548,22.933572,1060.013089
114.909455,22.933609,1057.647412
114.909359,22.933635,1056.214803
114.90927,22.933675,1052.875776
114.909188,22.933727,1051.33168
114.909109,22.933792,1049.318331
114.90903,22.933854,1047.317786
114.908975,22.933934,1046.155213
114.908987,22.934031,1044.421468
114.909008,22.934123,1042.551458
114.909044,22.934212,1042.181516
114.909051,22.93431,1042.18311
114.90899,22.934393,1041.340625
114.908932,22.934467,1040.596284
114.908977,22.934381,1033.055892
114.909021,22.934296,1034.02225
114.90901,22.934205,1034.606873
114.909001,22.934111,1035.111151
114.908959,22.934022,1036.416765
114.908983,22.933921,1040.246266
114.908977,22.934015,1037.536963
114.908977,22.934108,1035.572235
114.909003,22.934201,1034.924367
114.909002,22.934294,1034.307208
114.908951,22.934378,1034.19719
114.908863,22.934428,1032.762776
114.908962,22.934399,1033.40563
114.909027,22.934326,1034.089194
114.909028,22.934221,1034.872483
114.909027,22.93413,1036.502198
114.909032,22.934038,1036.302712
114.908973,22.93396,1037.210171
114.908966,22.933868,1040.129361
114.908976,22.93396,1038.48851
114.909006,22.933864,1041.787899
114.909076,22.933798,1043.51387
114.909159,22.933734,1045.369668
114.909238,22.93368,1048.240087
114.909336,22.933639,1050.196061
114.909422,22.933592,1052.199596
114.909331,22.933629,1050.501906
114.909249,22.933685,1040.765281
114.909164,22.933733,1038.979087
114.909085,22.933797,1038.360077
114.908996,22.93385,1037.523603
114.908947,22.93393,1037.480108
114.908978,22.933843,1046.615129
114.908985,22.933954,1045.900457
114.908952,22.933865,1046.140272
114.909049,22.933839,1045.355764
114.90896,22.933883,1044.002047
114.908966,22.933977,1042.56472
114.908873,22.93401,1036.592606
114.90879,22.933959,1032.714293
114.908697,22.93393,1028.463083
114.908609,22.933886,1024.347537
114.908507,22.933871,1019.447827
114.908406,22.933863,1014.487068
114.908312,22.933822,1012.084726
114.908253,22.933748,1007.012387
114.90829,22.933662,1006.372846
114.908208,22.933614,1003.944205
114.908118,22.933572,999.005555
114.908058,22.933498,992.597475
114.908002,22.933415,988.737208
114.907975,22.933325,985.684471
114.907916,22.933251,981.989971
114.907894,22.933159,978.593766
114.907794,22.933154,975.743837
114.907702,22.933109,969.789073
114.907639,22.933036,966.070029
114.907539,22.933007,962.736508
114.907445,22.933032,958.756276
114.907347,22.932993,955.948792
114.907262,22.932946,952.631683
114.907181,22.932892,949.189939
114.907128,22.93281,945.574858
114.907065,22.93274,941.200367
114.906967,22.932724,938.429418
114.906866,22.932724,936.951772
114.906775,22.932685,933.28493
114.906674,22.932666,931.071771
114.906569,22.932656,930.391703
114.906487,22.932606,929.65778
114.906389,22.932571,931.505882
114.906293,22.932547,928.857355
114.906286,22.932441,927.083534
114.906218,22.932372,925.904683
114.906175,22.932287,923.501808
114.906081,22.932246,919.226376
114.906041,22.932155,915.203013
114.905986,22.932077,912.083318
114.905885,22.932074,909.564224
114.9058,22.93213,909.893846
114.905689,22.932131,909.07054
114.905586,22.932146,908.852874
114.90549,22.932186,908.547494
114.905402,22.932246,907.299927
114.905305,22.932272,906.922659
114.905193,22.932279,907.395964
114.905074,22.932245,906.864627
114.904977,22.932202,905.149899
114.904878,22.932221,905.246192
114.904786,22.93225,901.818564
114.904675,22.932277,902.897552
114.904579,22.932325,902.317334
114.904489,22.932401,902.348709
114.904401,22.932444,901.260197
114.904323,22.932388,898.741838
114.904222,22.932377,899.182914
114.904124,22.932385,899.096933
114.904011,22.932377,898.480167
114.903923,22.932336,898.485986
114.903847,22.93227,899.885857
114.903763,22.932217,900.202079
114.903687,22.93215,897.786264
114.903597,22.932101,895.932575
114.903505,22.932062,892.932333
114.903405,22.932041,888.621769
114.90331,22.932005,886.035976
114.903226,22.931958,883.693501
114.903129,22.931918,881.431249
114.903056,22.931856,878.237007
114.902959,22.931839,876.074675
114.902893,22.93177,872.470447
114.902795,22.931746,868.198921
114.902691,22.93173,865.013268
114.902592,22.931718,864.086246
114.902506,22.931673,863.952553
114.902421,22.931612,864.368825
114.902328,22.931572,864.338971
114.902276,22.931489,862.174216
114.902191,22.931426,860.543516
114.902123,22.931344,861.522175
114.902019,22.93132,862.550123
114.901919,22.931352,859.137155
114.901828,22.931305,854.41264
114.901736,22.93135,850.011586
114.901637,22.931344,843.811746
114.901538,22.931325,836.364907
114.901465,22.931264,833.420801
114.901388,22.931207,829.429969
114.901301,22.931252,825.26504
114.901199,22.931271,818.449996
114.901152,22.931191,812.325163
114.901158,22.931098,808.550601
114.90114,22.931002,803.864302
114.901175,22.930913,800.589483
114.901233,22.93084,797.07084
114.901285,22.930763,791.006851
114.901284,22.930667,788.121766
114.90134,22.93059,782.993424
114.901362,22.930493,773.444182
114.901378,22.930403,771.096569
114.901449,22.93034,763.344148
114.901487,22.930252,760.243685
114.901399,22.930199,753.410696
114.901353,22.930284,746.488078
114.901279,22.930203,746.910694
114.901449,22.930062,739.688811
114.901486,22.929975,734.6041
114.901425,22.929903,728.369856
114.901506,22.929849,723.072105
114.901512,22.929755,719.827464
114.901508,22.92966,718.474592
114.901563,22.929583,716.593432
114.901648,22.929538,716.190752
114.901743,22.929508,716.415051
114.901662,22.929456,710.868691
114.901707,22.929374,705.217974
114.901764,22.929293,701.009582
114.901829,22.92922,693.519753
114.901862,22.929133,691.029881
114.901832,22.929047,685.253434
114.901871,22.928959,682.137646
114.901871,22.928868,673.912428
114.901832,22.928783,667.843375
114.901767,22.928713,662.478555
114.901779,22.928622,654.704252
114.901707,22.928551,645.135597
114.901737,22.928464,640.390684
114.901652,22.928417,636.01607
114.901559,22.928386,631.043595
114.901475,22.928337,625.857613
114.901419,22.928252,619.99065
114.901353,22.928184,616.573394
114.901404,22.928106,606.939895
114.901335,22.928041,603.761659
114.901427,22.928005,599.907749
114.901386,22.927922,594.802353
114.901358,22.927835,593.120813
114.901293,22.927746,587.467944
114.901374,22.927687,582.649455
114.901455,22.927637,576.355539
114.901538,22.927586,571.83443
114.901614,22.927529,567.06885
114.901657,22.927446,560.932452
114.901625,22.927356,559.364966
114.901566,22.92728,560.556471
114.901469,22.927254,559.510597
114.90148,22.927163,536.099546
114.901498,22.927072,532.355245
114.90152,22.926982,527.446659
114.901578,22.926907,525.520016
114.901635,22.926991,522.833431
114.901695,22.926906,517.554411
114.901686,22.926816,516.534015
114.901711,22.926726,514.592494
114.901791,22.926664,512.141004
114.901814,22.926575,508.16392
114.901716,22.92656,504.731671
114.901618,22.926524,504.881668
114.901679,22.926446,505.095719
114.901582,22.926465,504.92107
114.901656,22.926406,504.104261
114.901719,22.926477,503.557249
114.901811,22.926436,500.652046
114.90178,22.926351,495.768557
114.901767,22.926441,499.00499
114.901791,22.92635,494.835796
114.901893,22.926348,493.816771
114.901494,22.926523,493.859058
114.901602,22.926382,493.977396
114.901712,22.926387,493.871161
114.901625,22.926431,500.823375
114.901524,22.92649,500.474267
114.901421,22.926506,500.45055
114.901314,22.926497,502.190174
114.901211,22.926527,502.074027
114.901136,22.926586,502.02943
114.901046,22.926629,501.939869
114.90095,22.926647,501.247915
114.900841,22.926679,500.267554
114.900738,22.926703,499.671959
114.900628,22.926741,498.016221
114.900498,22.92676,496.855876
114.900408,22.926805,496.190445
114.900277,22.926805,495.691111
114.900176,22.926784,495.672718
114.900088,22.926718,494.516868
114.900006,22.926651,492.989321
114.899925,22.926579,490.161042
114.899831,22.926514,488.429982
114.899722,22.926482,486.543504
114.899622,22.926496,484.844272
114.899522,22.926519,483.954186
114.899401,22.926547,481.852991
114.899289,22.926539,480.955676
114.899221,22.926468,479.861692
114.899279,22.926389,478.293287
114.899395,22.926372,476.806991
114.899499,22.926344,476.354742
114.899577,22.926265,473.936497
114.899619,22.926183,473.293245
114.899651,22.926083,472.293418
114.899726,22.92601,471.235481
114.899813,22.925967,470.438768
114.899916,22.925995,468.594184
114.899988,22.926077,466.144264
114.900039,22.926156,464.793524
114.900137,22.926199,463.462842
114.900233,22.926145,462.211312
114.9003,22.926063,461.235284
114.900406,22.92601,460.131556
114.900517,22.925958,457.993832
114.900626,22.925913,456.138471
114.90073,22.92591,456.228871
114.900762,22.925819,454.860775
114.900674,22.925768,453.437338
114.900559,22.92579,451.447924
114.900441,22.925811,449.016849
114.900338,22.925798,447.07539
114.900225,22.925758,445.567002
114.900129,22.925699,444.051226
114.900074,22.925616,443.210725
114.90009,22.925513,442.377617
114.900107,22.925409,441.083808
114.900141,22.925308,439.590468
114.900216,22.925244,438.28669
114.900237,22.925136,436.113588
114.90018,22.925049,434.190762
114.900103,22.924974,432.037869
114.900001,22.924933,430.743825
114.899895,22.924908,429.607367
114.899815,22.924852,428.552897
114.899815,22.924759,427.121823
114.899895,22.9247,424.452469
114.899996,22.924703,423.726297
114.900089,22.92474,424.040392
114.900182,22.924786,422.486102
114.900262,22.924859,422.759041
